AG359J14	AG896J04	AG898O07	AG900B21	AG905C17	AG915K04	AG918E15	GCA002480175	HIMB30	LSUCC0096	TOBGMED626	TOBGMED759	TOBGMED814	TOBGNAT109	TOBGNP1444	TOBGNP1472	TOBGRS469	TOBGSAT133	TOBGSP353	UBA11144	UBA11194	UBA12265	UBA8357	UBA9601	UBA9605
PON_137_05M	9425.77236425804	3872.14474707937	3335.1938401419	10350.4730097421	8261.83071777267	3666.26437526811	2565.9702336486	73065.9186227152	6652.78000492077	9164.47652919631	76.4834124141129	569.161724714813	1006.32089419559	38862.8628643254	1056.79232103932	715629.436015128	15622.8134897368	14833.6602168295	43898.0160886402	32144.4305223309	712.226511823833	952.386833070612	32.0982554169643	0	4242.48640559121
PON_138_05M	18846.3034325467	8469.29410861617	8271.15452057375	19648.0345614731	17289.067393459	8432.44363389911	4901.20850916393	209186.319152424	21435.8973992305	15426.7164216526	194.326517816351	1106.35514427258	5123.32472233202	54042.2670413812	2297.59811214251	329014.881267513	64462.8836043409	60616.2690451967	71914.1590208253	67712.1538208182	1568.32130124096	1348.17031949075	47.1201945517669	0	8645.73075503829
PON_140_05M	34098.484254206	7108.20186144678	12891.7746154573	22700.1234685721	14842.9936878221	36512.1750934776	23896.824774049	11161.0693479437	37704.0897255765	11113.3158498537	397.580879129421	564014.123935853	41440.282629233	31403.3201307065	1355.98661406503	14447.1277669589	83308.7270442708	33624.3317810392	5484.44204265745	1930.09513294047	4218.7493835308	708.040351928175	135.569823783576	27.4673978655861	5475.10240763278
PSE_93_05M	66070.2126822635	46567.7790180339	61184.1487822777	67590.889198032	57416.5610909751	47448.9017412198	30614.2047814995	20674.2401407008	97243.1728746494	85441.2779718623	1075.67160924388	763.968993648456	799.769958155734	75254.8746979904	72308.4638410101	7865.51484998174	874.684363632526	65592.9480654913	60687.5958024114	56735.8521690961	9698.96679951104	6706.05756275411	252.414484938802	951.221602117717	60180.6069185026
PSE_94_05M	9478.42106263225	4988.46627221494	5397.51617198881	10048.605610554	8280.2932198643	5053.38045447983	2869.99640758825	25272.0164652854	14034.5407444399	8415.44167526476	149.265350674633	353.851791944073	419.934077512433	30002.2902348328	84784.0457618381	37305.106078033	2330.05422760444	92006.8445227947	328089.155232001	323751.327231967	1378.44314315628	986.23951642588	0	2.80842704063351	4601.95631986289
PSE_96_05M	46975.0635290767	14179.0195094393	56558.5759080119	134554.827008877	330861.966141903	33074.1351842977	24761.3593799982	116089.823713912	27511.0515116536	17275.7091205759	2510.66328936189	3157.32104173908	31086.5853251087	60552.1501070274	18316.6979782295	2599.68687130289	17523.4373740009	21473.8816896188	11235.3147420778	11656.8947055405	1368.8426161003	2752.34866976766	1371.40718914398	1213.91775270186	11339.3196405336
PSE_98_05M	40602.2975732718	13266.669947817	41148.0382553316	107322.057961855	221573.215015343	26206.3662691584	17929.0929097976	209587.032156327	22678.4097280629	18953.59460315	2080.14247474901	2101.20342154966	34855.9730958554	91766.545703234	19769.6193400648	2180.50276638733	42144.5194402868	18418.0329150631	7136.94958260657	13457.9604844803	30805.2190012509	2520.82306513312	901.541565356965	722.038895178116	11872.1538286895
PSE_99_05M	28104.0481207365	10458.9121326042	37406.3699487961	86019.1444129434	202952.667811296	20717.2665786507	14805.571386183	288304.904812308	17941.126595124	15065.9531723399	1051.04815088776	2320.05846077831	18114.7408159517	42847.6649931322	16652.3186397056	47727.0505494108	14693.6262323441	58965.4539882838	24486.0801572818	39838.7652894987	935.411715462198	1459.10065701212	488.025225052813	494.386680267699	8150.30347394812
PSE_100_05M	20252.2167534162	9637.90677982237	11157.3080593372	22550.1419979298	18231.3509123764	10098.0335525433	6272.40245952677	98384.2264726615	48772.7353258007	24883.3161980427	556.022252749633	1073.15620487691	855.176913363403	37618.0479957155	4390.98956676393	294706.373004883	7376.86647412904	44151.3930499146	196922.455099616	118639.681870741	10055.6150895046	2123.91590528088	27.0851768001352	0	11263.5828842048
PSE_102_05M	6922.56868170986	3077.13755758961	3044.84007164027	7234.50373960026	6035.47715215392	2905.40333507569	1897.35603569956	12128.5675889179	4999.31813778562	7502.83645991809	582.083367085758	342.186977479102	1153.00053906085	22039.3526526334	3216.19679350929	301236.060813033	4630.87470183733	23242.3305944317	256094.819702168	267606.170798278	59452.7808738078	679.10031002676	3.70130970746709	0	3973.33180685073
PSE_109_05M	11201.2021070093	4868.01262233296	4943.45234457393	13111.942245446	10117.119824854	4181.88131747607	3271.39291176152	120391.437468843	11554.2092328791	12375.9912455924	341.475562491569	615.530070953124	1242.72305981085	28028.444963116	786.638894007471	637508.971380977	17899.1706724048	8947.33449907113	45000.5298952656	36226.8637716553	20377.3463666012	1232.01934659385	16.3422670202919	0	5759.96792926319
PSE_110_05M	27645.5892931611	11418.2871199688	14157.9436315164	29701.7290541048	23331.4004352428	13594.9013215589	8321.55293067825	107640.769364009	64510.7436418782	29009.8361502253	2420.48255661622	922.800219127875	2097.33302242853	48669.3725290396	2480.32824368486	151080.196039085	13795.5089379049	28646.8746145074	72198.2753640085	63582.7100920714	267738.036402786	2461.48166124693	14.972381916489	14.5608464049546	14544.3141468278
PSE_111_05M	13975.7673488457	5717.97496418204	6097.31533042322	14628.0694492283	12263.453232047	5726.15061542271	3959.36468428867	125643.047912564	10921.2809745807	15602.0902868533	59.5510535960507	1481.41145100515	1527.3782371312	39513.2932965643	8530.38539397157	331794.182848632	7996.70386912542	61916.7865841492	179142.319475231	144813.884295267	50.237935060092	1700.35727034545	15.4713310584917	7.52304063840389	6915.99911978993
PSW_112_05M	29621.0515270992	9263.09128421382	31334.8575706199	74193.8649626046	171465.018686277	19257.4057555859	13704.3285321226	352564.685642724	23583.3593745795	16864.4454378239	566.291858732365	2128.68902809535	18338.5798471957	55806.3671088689	39043.9351546732	11093.4777889139	27541.9820862574	33854.8823293445	10453.8747828548	27102.4759208336	22239.697765414	1346.083112606	25.1184438994959	36.6420458941039	8569.79395276593
PSW_122_05M	19865.2736403621	7953.49406273185	8784.43303892486	19511.2068277783	16042.4771670341	8014.4041157849	5355.67717906565	155756.306585004	15051.4777788471	21260.5522763211	340.444731452464	1030.85850274625	1707.55699000084	41451.8478296726	4577.48624227279	293454.255017881	15261.4143986906	20307.9326909547	183040.776450125	133192.648336572	15980.268612928	1708.69191228077	0	0	10350.5156125689
PSW_123_05M	20578.4746247476	11318.949951232	12257.0325302505	21895.9403145252	19452.3860221635	11953.3707664191	6873.06549419658	52046.5531584888	20844.7086787007	22733.1049841209	293.831082968538	1824.66664944432	13668.2533286435	85492.4104542358	3841.53004373275	343130.133584417	21440.7599670477	19481.2679280867	189312.12753646	103265.357697039	3892.97444139537	2874.80579407984	0	0	11528.294967604
PSW_124_05M	24528.6183604262	12627.4111114835	11455.6705930236	28385.5822168785	23025.6337489359	10655.0653355978	7067.20179532947	138399.068830249	22107.8428975203	29064.7122261233	215.542556497751	1131.27335513102	2205.08720559367	58231.5278807028	5366.43412200742	268796.274009297	12744.5038171952	14649.6089610882	190687.751474968	116190.728901142	4454.93574676383	2243.03981146861	13.0661621873418	0	15753.4188803893
PSW_125_05M	48350.8496824641	24026.0379788071	21271.4684559082	51083.2827837874	43086.1614755769	20118.8499413478	12035.6469782225	49192.9711897741	100551.588238255	51419.1040957964	413.571329240318	870.231317835385	6136.17404117859	126694.734527958	4159.23605979605	166160.34548439	15490.0523408991	10858.4626099027	148384.409510612	64201.5654375112	9330.66196210156	3783.58043189196	0	0	22381.0141267433
PSW_128_05M	26314.2015118527	11803.8304558169	10199.4481261789	28471.7042007591	24382.7800406367	10833.5755795396	6619.31737773487	141500.232742094	26040.0555516319	31824.3287169781	226.788691764021	1328.15804753915	3469.51062004959	80956.1612211071	2993.66937585886	333608.340405355	17016.7421528462	15851.2416967138	118847.537696642	84226.0105999958	3943.34823364537	2310.1238949506	0	22.2833706731155	17210.6096896364
RED_31_05M	11536.5249016761	4012.20932500379	37468.6094445168	71452.7225287843	24290.7512633624	14405.0552977814	6749.02103656088	81125.3752207735	8956.8624102056	5497.25316409457	94.130065527729	80195.5818361316	15963.1097630943	39775.0834063746	2013.43200168345	17757.759968847	506831.679424502	60050.9334391308	3633.75004046211	4514.88439019453	188.719338950151	423.267905155832	282.137541487697	18.4977048487195	2762.64858085007
RED_32_05M	11655.1552904598	3896.17651737416	28586.5572556797	78028.3369613948	23302.6528135827	12850.8478382786	6526.66409368175	82423.0271036803	7854.80468375918	6813.23422228476	132.109062270941	52360.2021308994	15262.689519466	38968.5607848053	1659.99569432641	10661.9605399629	487560.374447375	115379.020546935	4304.51422174529	4275.78287092633	3921.2339235881	350.301704981233	290.832619357141	0	2934.96515318559
RED_33_05M	23087.8031603526	8995.71952554526	11284.8814292714	33135.6905419192	20602.6309998906	11019.2242464943	7773.49932003652	56939.0022351993	46922.7912512755	20185.4166732866	419.65529089864	77122.1734133392	13516.0783828581	49024.5234255017	1514.76440245991	38807.6914118454	442614.792118444	82729.1703745521	16748.5823961593	3875.48342334711	23418.8131811389	1143.77355215035	76.3183500662656	0	9041.52089396767
RED_34_05M	20361.5221586456	6698.46924075035	9387.07746200518	24112.4941247103	17381.4560548761	8848.83331992637	7146.37945656117	37697.3456273006	24357.0790473468	14638.4202716811	293.83885930685	140885.443405623	9662.43192664702	55789.654198439	2028.1906549369	35064.8590373275	422324.535158697	123739.298824824	12559.6999894284	3065.17187180754	15844.0307983995	970.739335016916	190.847936168477	0	6952.18123957404
SOC_84_05M	70660.3874608225	80365.9704142242	89041.115043149	85870.6543304933	88631.6589515027	59010.7992532456	32797.6649976971	27.6175537373373	64619.2125654642	92923.9552797461	1736.73747360361	4907.51381300244	18527.6321572419	46255.038283101	18640.9889251295	20.032565095789	101.654419987112	1987.89105686996	6334.61603644352	50957.2170369467	137323.72746505	9429.01209349534	0	0	39828.9028239516
SOC_85_05M	77844.6808642573	103662.233178398	108234.713785186	96582.8142463454	97190.7209685777	56166.4919959275	34033.796458833	58.8881203464314	59693.1522056835	126506.773750756	707.963877670314	1889.3606721689	3914.25914594843	71852.4767878359	25461.4021183607	21.3574329469609	0	799.103568016112	5145.56978680108	12183.196223782	68687.146995719	4160.47471457357	0	0	45203.4231018667
S0477_6M	59786.3881089658	30102.4395722416	24645.688404096	83573.7807388678	67376.1407743712	17468.0700716381	13486.2574775831	51074.5914146129	36386.511777616	137867.677154156	0	0	0	21377.2453889368	82336.0807895494	0	0	86383.2698124389	145661.925750737	90168.9803148927	0	0	0	0	52304.9524492969
S0447_6.1M	41373.5034046961	27284.572068926	33880.2455113771	46893.1665602478	36264.4956955415	18295.7917656142	15890.9643241832	51488.6994961777	29944.1063369242	78174.5745205242	0	17740.8117733115	10877.3405983759	134664.151979979	105102.02960143	73725.2307054038	31996.730891738	24854.7436569266	143028.83690702	33202.1330721676	0	2042.93547831222	0	2187.37498766334	41087.5606634609
S0495_6.1M	13574.853363697	5018.66011971219	1526.16803399464	11644.315579382	19470.3748129498	5047.92746578677	4871.57777394495	190398.179624496	5257.49185322501	47135.8753097091	0	0	0	49183.2157093114	162933.76505092	2141.18618248956	0	72276.7665764749	194794.024867521	160250.891662626	0	1127.31826464973	0	0	53347.4077491089
S0471_6.3M	48895.4106128808	11362.5386072694	51829.9988257793	87878.0273153491	42857.5600755456	7143.00098887588	11029.5356159603	87718.2535355239	29758.1688810894	123869.530925598	0	0	0	56483.7420655423	48307.2237937502	0	0	59146.5564521087	174889.227988081	99553.5399656193	7603.78541564701	6380.78540846528	0	0	45293.1135269144
S0489_6.3M	50825.5633798315	22047.3424522828	40506.7664972268	63942.9168038104	58409.1712442476	19634.9256717874	19617.7656641116	49305.2507320639	29558.0820011717	130189.955811057	0	1666.91762298046	3030.84572706244	87417.796208938	46866.5472880545	31354.6271271508	14087.6656978568	95637.69374409	127869.861239019	38454.953265631	0	0	0	0	69575.3518216268
S0465_6.5M	67554.5568439859	7849.31807111723	47739.348922009	60706.7321574777	101507.282305911	19737.732449374	0	86566.2276515179	17620.408419163	118481.406724721	0	0	0	44593.5415006882	36404.6781953399	0	0	81717.6777919809	157584.332141388	122261.786314531	0	8815.77892858289	0	0	20859.1915822123
