	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
SOC_84_05M	5.9	0-50	0-100	EPI	S_ITCZ	SOC	33.5-34.0	0-2.9
SOC_85_05M	5.9	0-50	0-100	EPI	S_ITCZ	SOC	34.0-34.5	0-2.9
S0477_6M	6	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
ANW_148_05M	6	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0447_6.1M	6.1	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
S0495_6.1M	6.1	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0471_6.3M	6.3	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0489_6.3M	6.3	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
S0465_6.5M	6.4	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0015_8M	6.5	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0044_8M	8	0-50	0-100	EPI	N_ITCZ	AON	32.5-33.0	27-29.9
S0168_8M	8	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	24-26.9
S0033_9M	9	0-50	0-100	EPI	N_ITCZ	AON	32.0-32.5	27-29.9
S0039_9M	9	0-50	0-100	EPI	N_ITCZ	AON	35.5-36.0	27-29.9
S0157_9M	9	0-50	0-100	EPI	N_ITCZ	AON	35.5-36.0	15-17.9
S0187_9M	9	0-50	0-100	EPI	S_ITCZ	AOS	36.0-36.5	24-26.9
S0205_9M	9	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	27-29.9
S0226_9M	9	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	18-20.9
S0294_9M	9	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
PSW_124_05M	9.9	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	24-26.9
ANE_004_05M	10	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0001_10M	10	0-50	0-100	EPI	N_ITCZ	AON	34.5-35.0	9.0-11.9
S0008_10M	10	0-50	0-100	EPI	N_ITCZ	AON	35.5-36.0	15-17.9
S0021_10M	10	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0027_10M	10	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0163_10M	10	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
